ID,y_hat_uptake,y_uncertainty_uptake,y_hat_uptake_CI05%,y_hat_uptake_CI95%,y_hat_pdi,y_uncertainty_pdi,y_hat_size,y_uncertainty_size,x_PLGA,x_PP-L,x_PP-COOH,x_PP-NH2,x_S/AS
screen_20306,9.249043,1.02066,7.550405,10.974314,0.13355741,0.0,132.75143,0.0,0.0,0.3753195416777971,0.2833410552087558,0.3413394031134472,0.25
screen_72872,9.143657,1.0236261,7.453423,10.81744,0.079747126,0.0,87.05287,0.0,0.0,0.3303960705285397,0.2245031505068588,0.4451007789646014,0.1
screen_62254,9.770606,1.0099658,8.153844,11.430221,0.13355741,0.0,99.66716,0.0,0.0659672515948954,0.1693072090157116,0.194682097995143,0.5700434413942498,0.25
screen_52734,9.116074,1.0101594,7.4379535,10.749878,0.13355741,0.0,125.58299,0.0,0.0,0.2488045836984365,0.3006904690046507,0.4505049472969128,0.2
screen_38116,9.162799,1.006944,7.6563835,10.806301,0.13355741,0.0,131.95364,0.0,0.0,0.300715539696508,0.2834086128359746,0.4158758474675175,0.2
screen_96636,9.502172,1.014576,7.835891,11.192919,0.13355741,0.0,126.936264,0.0,0.0,0.222235478740257,0.2919586390650976,0.4858058821946452,0.2
screen_91542,9.324906,1.0227888,7.723275,11.016702,0.079747126,0.0,90.77337,0.0,0.0,0.3413589717807116,0.2172792138440517,0.4413618143752366,0.1
screen_82381,8.829374,1.0014694,7.1757894,10.51485,0.13355741,0.0,143.689,0.0,0.0,0.4358233175544407,0.2870249605043923,0.2771517219411668,0.25
screen_72388,9.627867,0.99905884,7.8817396,11.304779,0.13355741,0.0,131.95364,0.0,0.0,0.2893110296878612,0.2670878506870975,0.4436011196250413,0.2
screen_38000,8.81968,1.0134567,6.998829,10.439931,0.13355741,0.0,96.8257,0.0,0.0703872782998377,0.2632348005839683,0.1663654045886893,0.5000125165275046,0.2
