score,hypers
47.2865685301539,{'max_depth': 2, 'min_child_weight': 5, 'gamma': 7.3399595625794545, 'n_estimators': 475, 'eta': 0.6952240360736882, 'subsample': 0.38628587634267497, 'colsample_bytree': 0.7642600492638628, 'reg_alpha': 2.94679300846102, 'reg_lambda': 9.223405852455514, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
49.40005082071652,{'max_depth': 8, 'min_child_weight': 9, 'gamma': 0.8724988530825196, 'n_estimators': 355, 'eta': 0.1882987115733313, 'subsample': 0.3153897349222477, 'colsample_bytree': 0.3785228655758974, 'reg_alpha': 3.160860014851769, 'reg_lambda': 7.8314569542639, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
63.45029482159068,{'max_depth': 17, 'min_child_weight': 10, 'gamma': 3.766997880937887, 'n_estimators': 255, 'eta': 0.2956461825285096, 'subsample': 0.4001500249428729, 'colsample_bytree': 0.549349211483122, 'reg_alpha': 9.582826894554113, 'reg_lambda': 1.501236164204406, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
52.09051652440388,{'max_depth': 13, 'min_child_weight': 17, 'gamma': 3.7281060191706468, 'n_estimators': 410, 'eta': 0.46863498081267696, 'subsample': 0.7196642854393318, 'colsample_bytree': 0.45436802845254876, 'reg_alpha': 7.779432762491449, 'reg_lambda': 8.257864075650607, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
62.26179824312029,{'max_depth': 9, 'min_child_weight': 11, 'gamma': 8.906902164384228, 'n_estimators': 409, 'eta': 0.5191588015328675, 'subsample': 0.23070818499628631, 'colsample_bytree': 0.11652552660876755, 'reg_alpha': 6.411026131169722, 'reg_lambda': 8.275329420525173, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
51.78401888435465,{'max_depth': 4, 'min_child_weight': 12, 'gamma': 3.8899120963990343, 'n_estimators': 239, 'eta': 0.7558867015459354, 'subsample': 0.5791368174958469, 'colsample_bytree': 0.8035160263800296, 'reg_alpha': 6.813367305462501, 'reg_lambda': 3.925483212139321, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
48.243058607888436,{'max_depth': 14, 'min_child_weight': 4, 'gamma': 2.677455741010379, 'n_estimators': 148, 'eta': 0.16584314159407568, 'subsample': 0.6983486464370773, 'colsample_bytree': 0.9328503147959994, 'reg_alpha': 4.003342950950159, 'reg_lambda': 7.3727454297460095, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
45.87228461474871,{'max_depth': 9, 'min_child_weight': 7, 'gamma': 8.767752074741653, 'n_estimators': 424, 'eta': 0.6218664115641621, 'subsample': 0.5923003725410365, 'colsample_bytree': 0.8335761771585303, 'reg_alpha': 0.4045118780585522, 'reg_lambda': 9.508838886625506, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
66.59220472949201,{'max_depth': 8, 'min_child_weight': 5, 'gamma': 4.587825129146359, 'n_estimators': 127, 'eta': 0.6131197804229774, 'subsample': 0.32823727118336415, 'colsample_bytree': 0.8395994480995452, 'reg_alpha': 9.494353910022381, 'reg_lambda': 1.8660190076725172, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
45.7329885829885,{'max_depth': 5, 'min_child_weight': 15, 'gamma': 5.235239475044198, 'n_estimators': 316, 'eta': 0.29093743284696616, 'subsample': 0.31080348437380656, 'colsample_bytree': 0.14597204491921997, 'reg_alpha': 1.194243167676743, 'reg_lambda': 4.890178202838208, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
14.356516999293573,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.0, 'n_estimators': 500, 'eta': 0.1, 'subsample': 0.39842109551671523, 'colsample_bytree': 0.985817634883184, 'reg_alpha': 0.0, 'reg_lambda': 4.70086630567815, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
