score,hypers
0.038081525392279506,{'max_depth': 16, 'min_child_weight': 4, 'gamma': 7.796910002727695, 'n_estimators': 319, 'eta': 0.5012494775682321, 'subsample': 0.18997742423620262, 'colsample_bytree': 0.5133240027692806, 'reg_alpha': 3.337086111390219, 'reg_lambda': 1.428668179219408, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.037541551178116146,{'max_depth': 15, 'min_child_weight': 19, 'gamma': 0.007787658410143285, 'n_estimators': 496, 'eta': 0.655733358664945, 'subsample': 0.6504878444394528, 'colsample_bytree': 0.10635967469774567, 'reg_alpha': 0.2306242504141576, 'reg_lambda': 5.247746602583892, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03840063808321702,{'max_depth': 20, 'min_child_weight': 5, 'gamma': 0.9060643453282081, 'n_estimators': 328, 'eta': 0.4442157921404466, 'subsample': 0.9849077972261095, 'colsample_bytree': 0.5200866039231821, 'reg_alpha': 8.599404067363208, 'reg_lambda': 6.803075385877798, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04268232632649189,{'max_depth': 19, 'min_child_weight': 12, 'gamma': 3.854165025399162, 'n_estimators': 57, 'eta': 0.30780444305993415, 'subsample': 0.3169229194234106, 'colsample_bytree': 0.7149371669429125, 'reg_alpha': 6.09996657782621, 'reg_lambda': 8.331949117361646, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.049027561477824236,{'max_depth': 5, 'min_child_weight': 15, 'gamma': 4.251558744912448, 'n_estimators': 144, 'eta': 0.6109302950379925, 'subsample': 0.12818196321000275, 'colsample_bytree': 0.8580562971354988, 'reg_alpha': 4.497541333697658, 'reg_lambda': 3.9515023600181456, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03761199480121515,{'max_depth': 8, 'min_child_weight': 12, 'gamma': 5.208342600258238, 'n_estimators': 483, 'eta': 0.8600804638103364, 'subsample': 0.7725880991236429, 'colsample_bytree': 0.5857229191501719, 'reg_alpha': 5.8675116566384835, 'reg_lambda': 9.652553072641382, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.038320594281640516,{'max_depth': 7, 'min_child_weight': 4, 'gamma': 0.15636406741193934, 'n_estimators': 241, 'eta': 0.45539336635801286, 'subsample': 0.36413935724623436, 'colsample_bytree': 0.11267184044357602, 'reg_alpha': 1.9884240408880522, 'reg_lambda': 7.113419527486501, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.05108673375156013,{'max_depth': 19, 'min_child_weight': 13, 'gamma': 9.149596755437809, 'n_estimators': 433, 'eta': 0.5045056067243832, 'subsample': 0.1858691048413702, 'colsample_bytree': 0.43373642697843984, 'reg_alpha': 6.688412526636074, 'reg_lambda': 6.659223566174967, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.037863777944451255,{'max_depth': 12, 'min_child_weight': 8, 'gamma': 9.71712095389104, 'n_estimators': 432, 'eta': 0.749556569048386, 'subsample': 0.3123864277740602, 'colsample_bytree': 0.33046149048519163, 'reg_alpha': 0.4043358953843135, 'reg_lambda': 7.106628896857875, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04107235127291607,{'max_depth': 6, 'min_child_weight': 18, 'gamma': 4.753702231821118, 'n_estimators': 303, 'eta': 0.7259644777835148, 'subsample': 0.22539830896528815, 'colsample_bytree': 0.6439756413500356, 'reg_alpha': 5.398410913016733, 'reg_lambda': 2.0306122473476944, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03785997063040355,{'max_depth': 19, 'min_child_weight': 9, 'gamma': 6.981684110959825, 'n_estimators': 400, 'eta': 0.4428262423119096, 'subsample': 0.5587979950031946, 'colsample_bytree': 0.27858637863311364, 'reg_alpha': 1.581842861991434, 'reg_lambda': 9.646389868597113, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
