ID,y_hat_uptake,y_uncertainty_uptake,y_hat_pdi,y_uncertainty_pdi,x_PLGA,x_PP-L,x_PP-COOH,x_PP-NH2,x_S/AS
screen_90428,7.587035,1.0665315,0.14124478,0.0,0.0891877935616611,0.2193579561030585,0.2435461971387048,0.4479080531965755,0.25
screen_60080,7.85464,1.055342,0.12736343,0.0,0.075681668820094,0.2959455034465064,0.0604645577810438,0.5679082699523559,0.25
screen_50616,6.8795815,1.0589788,0.12018119,0.0,0.0,0.7413271085272661,0.1752026633857731,0.0834702280869608,0.25
screen_75618,5.8613067,1.0687492,0.12736343,0.0,0.0870595622697742,0.4968579529721116,0.0,0.4160824847581143,0.2
screen_74943,4.2139454,1.1078712,0.10845326,0.0,0.6491753015292365,0.1333472758872943,0.0930451982614983,0.1244322243219708,0.2
screen_46083,6.080132,1.0573704,0.15282705,0.0,0.060328259718274,0.0638721603848699,0.5510844920165269,0.3247150878803291,0.2
screen_82967,6.443043,1.1083862,0.10253477,0.0,0.5710260168697847,0.0,0.2756719812992211,0.1533020018309943,0.2
screen_27039,7.217816,1.0747125,0.12736343,0.0,0.071477551160661,0.0705090656046234,0.1129294948138892,0.7450838884208264,0.25
screen_47452,4.159413,1.308996,0.12649882,0.0,0.6026168916744341,0.0,0.0895241071196428,0.3078590012059231,0.2
screen_18990,6.27161,1.1428128,0.15398993,0.0,0.0699657114453802,0.0,0.3754580990650594,0.5545761894895604,0.2
