score,hypers
0.03400070431359485,{'max_depth': 5, 'min_child_weight': 5, 'gamma': 6.917344187525427, 'n_estimators': 427, 'eta': 0.8287376160369444, 'subsample': 0.9694515097508755, 'colsample_bytree': 0.5771323783852599, 'reg_alpha': 0.42406531447289236, 'reg_lambda': 9.986761441391126, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03352620768980728,{'max_depth': 2, 'min_child_weight': 18, 'gamma': 7.668839781964049, 'n_estimators': 93, 'eta': 0.5315047005136587, 'subsample': 0.10006987307740703, 'colsample_bytree': 0.35694129147386633, 'reg_alpha': 0.049294002968757196, 'reg_lambda': 0.6743915540977009, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.0337060262431678,{'max_depth': 16, 'min_child_weight': 8, 'gamma': 1.1465791877469225, 'n_estimators': 245, 'eta': 0.331090370835027, 'subsample': 0.9963772661407067, 'colsample_bytree': 0.7453816132538855, 'reg_alpha': 4.702055610669657, 'reg_lambda': 9.974601113648548, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.10641612075063434,{'max_depth': 4, 'min_child_weight': 9, 'gamma': 1.4878887764606477, 'n_estimators': 413, 'eta': 0.2211812650193786, 'subsample': 0.11162640189448503, 'colsample_bytree': 0.9300482126953344, 'reg_alpha': 9.979846763859808, 'reg_lambda': 7.232659202368951, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.033883645208970616,{'max_depth': 3, 'min_child_weight': 14, 'gamma': 5.1071418044177666, 'n_estimators': 500, 'eta': 0.9400467046450565, 'subsample': 0.5339972287132713, 'colsample_bytree': 0.1, 'reg_alpha': 6.929561461972108, 'reg_lambda': 4.63438317584028, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03450326821340291,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 0.0, 'n_estimators': 50, 'eta': 1.0, 'subsample': 1.0, 'colsample_bytree': 0.1, 'reg_alpha': 10.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03252062400094282,{'max_depth': 9, 'min_child_weight': 6, 'gamma': 0.6324526927476913, 'n_estimators': 155, 'eta': 0.3779255239370902, 'subsample': 0.856287562817086, 'colsample_bytree': 0.9124238747108653, 'reg_alpha': 0.02660598098464199, 'reg_lambda': 1.578596101126567, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.034673429190497,{'max_depth': 19, 'min_child_weight': 6, 'gamma': 2.1663517185923524, 'n_estimators': 96, 'eta': 0.2720213849255993, 'subsample': 0.6988875876291927, 'colsample_bytree': 0.5063303120464232, 'reg_alpha': 8.133896120406641, 'reg_lambda': 0.02345964932939926, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03422399408467513,{'max_depth': 19, 'min_child_weight': 7, 'gamma': 0.516911104243072, 'n_estimators': 466, 'eta': 0.4549293779130493, 'subsample': 0.11962715943345253, 'colsample_bytree': 0.880744637706874, 'reg_alpha': 1.528280404560495, 'reg_lambda': 1.9271100405605672, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03374793335977138,{'max_depth': 14, 'min_child_weight': 6, 'gamma': 9.68523454100884, 'n_estimators': 86, 'eta': 0.2951938930519949, 'subsample': 0.9984364860883975, 'colsample_bytree': 0.8705156092720253, 'reg_alpha': 2.0986909612130416, 'reg_lambda': 2.7255723704448824, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.0338302295789608,{'max_depth': 3, 'min_child_weight': 10, 'gamma': 9.930049179729828, 'n_estimators': 61, 'eta': 0.9987946276178834, 'subsample': 0.985254253520798, 'colsample_bytree': 0.7302104163294035, 'reg_alpha': 6.373542162405807, 'reg_lambda': 9.743528302278154, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.033805441652361025,{'max_depth': 4, 'min_child_weight': 5, 'gamma': 4.653816679687198, 'n_estimators': 55, 'eta': 0.14592785957361104, 'subsample': 0.6696089996172097, 'colsample_bytree': 0.8319502039936314, 'reg_alpha': 1.2125099231200889, 'reg_lambda': 8.275837471262768, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03394264477198382,{'max_depth': 19, 'min_child_weight': 12, 'gamma': 0.8036355439195121, 'n_estimators': 87, 'eta': 0.12797167044408836, 'subsample': 0.18668380449280725, 'colsample_bytree': 0.15774769223112955, 'reg_alpha': 0.006571200641396492, 'reg_lambda': 9.8530543837073, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.033802788002845655,{'max_depth': 3, 'min_child_weight': 7, 'gamma': 0.6363034791723577, 'n_estimators': 316, 'eta': 0.5897529638837696, 'subsample': 0.8412152891386302, 'colsample_bytree': 0.299974200041643, 'reg_alpha': 3.24343017769483, 'reg_lambda': 1.0761344048842083, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03398755834200776,{'max_depth': 3, 'min_child_weight': 3, 'gamma': 9.151841250865939, 'n_estimators': 498, 'eta': 0.9390755990289255, 'subsample': 0.3563593034251351, 'colsample_bytree': 0.19759669047321213, 'reg_alpha': 4.781324262613308, 'reg_lambda': 8.132511195690062, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03413601242818505,{'max_depth': 17, 'min_child_weight': 19, 'gamma': 0.0057464981816646174, 'n_estimators': 93, 'eta': 0.9570311000684755, 'subsample': 0.8401773166875809, 'colsample_bytree': 0.37128334588164036, 'reg_alpha': 8.728152943857188, 'reg_lambda': 7.525322649645808, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03379389817511304,{'max_depth': 4, 'min_child_weight': 7, 'gamma': 9.348287012498847, 'n_estimators': 88, 'eta': 0.9641073253604293, 'subsample': 0.72098766816018, 'colsample_bytree': 0.3150490476761714, 'reg_alpha': 0.020085590479372865, 'reg_lambda': 1.194348945598497, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03817819707804455,{'max_depth': 9, 'min_child_weight': 1, 'gamma': 0.049986695499606444, 'n_estimators': 478, 'eta': 0.12857069727092402, 'subsample': 0.4028607974035452, 'colsample_bytree': 0.7186612842266893, 'reg_alpha': 8.481662817834616, 'reg_lambda': 0.18208497611553967, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.0341899006729653,{'max_depth': 13, 'min_child_weight': 2, 'gamma': 5.238438312020231, 'n_estimators': 461, 'eta': 0.17468899202204172, 'subsample': 0.1067682930159312, 'colsample_bytree': 0.846147802141803, 'reg_alpha': 0.06783890815416084, 'reg_lambda': 4.0097404910787695, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03820600895543212,{'max_depth': 19, 'min_child_weight': 12, 'gamma': 7.042962606165947, 'n_estimators': 111, 'eta': 0.958843523245449, 'subsample': 0.45390275243324574, 'colsample_bytree': 0.1136091045506209, 'reg_alpha': 9.919544319585933, 'reg_lambda': 1.1822413011004842, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04110386735504444,{'max_depth': 6, 'min_child_weight': 11, 'gamma': 0.14440432702323872, 'n_estimators': 439, 'eta': 0.22843793030481052, 'subsample': 0.10589725939990692, 'colsample_bytree': 0.1099572385318002, 'reg_alpha': 3.807207122763744, 'reg_lambda': 8.685022429813326, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03254836465493793,{'max_depth': 16, 'min_child_weight': 17, 'gamma': 0.39438719692002305, 'n_estimators': 265, 'eta': 0.27679221419388056, 'subsample': 0.9972502378975819, 'colsample_bytree': 0.2580763775707663, 'reg_alpha': 0.20676622105492262, 'reg_lambda': 4.2557000817702075, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03374730799982221,{'max_depth': 20, 'min_child_weight': 12, 'gamma': 9.221469183371841, 'n_estimators': 449, 'eta': 0.631547939362295, 'subsample': 0.874637618134278, 'colsample_bytree': 0.34638351171335674, 'reg_alpha': 5.8955628921970025, 'reg_lambda': 0.3979668461011688, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.034639795489998154,{'max_depth': 20, 'min_child_weight': 17, 'gamma': 9.47925082393305, 'n_estimators': 498, 'eta': 0.9579824262351233, 'subsample': 0.8240885624918602, 'colsample_bytree': 0.2118442576879548, 'reg_alpha': 9.94782030138316, 'reg_lambda': 3.3454475729374473, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.034085698385459606,{'max_depth': 15, 'min_child_weight': 2, 'gamma': 0.45614106709261587, 'n_estimators': 399, 'eta': 0.9570606653438549, 'subsample': 0.5544435046801315, 'colsample_bytree': 0.22533941868719262, 'reg_alpha': 2.3694401784895307, 'reg_lambda': 4.146096765560707, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03402703575509697,{'max_depth': 4, 'min_child_weight': 18, 'gamma': 8.566003147479867, 'n_estimators': 464, 'eta': 0.23392855952172398, 'subsample': 0.22539114204049732, 'colsample_bytree': 0.16606012872945863, 'reg_alpha': 1.8256596460330246, 'reg_lambda': 7.270078552650869, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.034039220699665605,{'max_depth': 13, 'min_child_weight': 19, 'gamma': 0.8653296357598074, 'n_estimators': 483, 'eta': 0.2253302972519535, 'subsample': 0.4420219805068486, 'colsample_bytree': 0.10751468457018931, 'reg_alpha': 0.2476904728128782, 'reg_lambda': 9.656737583211543, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03385285820940252,{'max_depth': 19, 'min_child_weight': 10, 'gamma': 0.07721269549755273, 'n_estimators': 194, 'eta': 0.7794735610797414, 'subsample': 0.49768011067311013, 'colsample_bytree': 0.9831893964378827, 'reg_alpha': 5.188540407359446, 'reg_lambda': 9.097229133963646, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.034105091568910895,{'max_depth': 11, 'min_child_weight': 18, 'gamma': 1.1489888947534646, 'n_estimators': 419, 'eta': 0.9908175301230865, 'subsample': 0.7568409832222254, 'colsample_bytree': 0.8851472071831753, 'reg_alpha': 1.7865206761104515, 'reg_lambda': 0.4011737754733214, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04190285342003873,{'max_depth': 11, 'min_child_weight': 14, 'gamma': 8.610931385743152, 'n_estimators': 318, 'eta': 0.5454192562911969, 'subsample': 0.3343584988194166, 'colsample_bytree': 0.5568249256359736, 'reg_alpha': 9.831254893700436, 'reg_lambda': 8.846535664837354, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03015143015363002,{'max_depth': 20, 'min_child_weight': 16, 'gamma': 0.12957130232001293, 'n_estimators': 69, 'eta': 0.9252944158444575, 'subsample': 0.9222083779689647, 'colsample_bytree': 0.5005994894235323, 'reg_alpha': 0.9401596819071747, 'reg_lambda': 0.14394474520100567, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.034173622765615724,{'max_depth': 6, 'min_child_weight': 19, 'gamma': 8.034106169947243, 'n_estimators': 295, 'eta': 0.9709883364906902, 'subsample': 0.6452095683789653, 'colsample_bytree': 0.9771331351981274, 'reg_alpha': 7.5397541031307105, 'reg_lambda': 9.647487600720803, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03368699516022802,{'max_depth': 6, 'min_child_weight': 13, 'gamma': 1.0681496161917305, 'n_estimators': 128, 'eta': 0.2647335704346412, 'subsample': 0.9349706692151425, 'colsample_bytree': 0.5519635351594359, 'reg_alpha': 4.497503908594757, 'reg_lambda': 8.58042048521611, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.035097719114065555,{'max_depth': 12, 'min_child_weight': 19, 'gamma': 9.321936067658367, 'n_estimators': 134, 'eta': 0.8299289084520981, 'subsample': 0.42539767818758545, 'colsample_bytree': 0.26619715978073094, 'reg_alpha': 6.472371322483897, 'reg_lambda': 1.2315982326800214, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03372173251251067,{'max_depth': 4, 'min_child_weight': 19, 'gamma': 9.4657119719375, 'n_estimators': 368, 'eta': 0.11112852573811662, 'subsample': 0.5581646290901924, 'colsample_bytree': 0.6547263060525035, 'reg_alpha': 3.8825111180331504, 'reg_lambda': 1.3796328846369201, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.033992003586950155,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 9.810548678777103, 'n_estimators': 350, 'eta': 0.8874856243376773, 'subsample': 0.10685934539530023, 'colsample_bytree': 0.5112806792109842, 'reg_alpha': 2.1198819982635335, 'reg_lambda': 9.313675339159847, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03424999676111199,{'max_depth': 20, 'min_child_weight': 2, 'gamma': 9.97051983643727, 'n_estimators': 79, 'eta': 0.34207542147380265, 'subsample': 0.9117072086174984, 'colsample_bytree': 0.13538872589137885, 'reg_alpha': 8.34594374828811, 'reg_lambda': 7.7549698804294405, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.033828833032038784,{'max_depth': 14, 'min_child_weight': 5, 'gamma': 9.69893232478393, 'n_estimators': 374, 'eta': 0.9508900006540951, 'subsample': 0.5912577676446152, 'colsample_bytree': 0.4597387992242824, 'reg_alpha': 0.04581180539548702, 'reg_lambda': 8.02358304904159, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03409030796826784,{'max_depth': 7, 'min_child_weight': 2, 'gamma': 9.636392389720989, 'n_estimators': 493, 'eta': 0.15734543894435496, 'subsample': 0.7923751851535595, 'colsample_bytree': 0.9478120172886298, 'reg_alpha': 7.5556173167505625, 'reg_lambda': 1.9576431398351128, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03416228123416831,{'max_depth': 11, 'min_child_weight': 2, 'gamma': 9.607944676895153, 'n_estimators': 60, 'eta': 0.9509662150452933, 'subsample': 0.4111780892900503, 'colsample_bytree': 0.970255661081311, 'reg_alpha': 1.328085164011691, 'reg_lambda': 5.685915471053348, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03450732816363325,{'max_depth': 6, 'min_child_weight': 17, 'gamma': 9.986712877298846, 'n_estimators': 199, 'eta': 0.18678786839373246, 'subsample': 0.9971155040749659, 'colsample_bytree': 0.3377969491341143, 'reg_alpha': 9.283321931292619, 'reg_lambda': 8.32232170731664, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
