3.129481082316465,{'lr': 0.0001, 'hidden_size': 32, 'epochs': 10000, 'n_layers': 2}
2.8457973556535205,{'lr': 0.0001, 'hidden_size': 32, 'epochs': 10000, 'n_layers': 3}
2.6312344192377495,{'lr': 0.0001, 'hidden_size': 32, 'epochs': 20000, 'n_layers': 2}
2.4141140575265534,{'lr': 0.0001, 'hidden_size': 32, 'epochs': 20000, 'n_layers': 3}
2.4422942081682364,{'lr': 0.001, 'hidden_size': 32, 'epochs': 10000, 'n_layers': 2}
2.505863390940195,{'lr': 0.001, 'hidden_size': 32, 'epochs': 10000, 'n_layers': 3}
2.4815759956422307,{'lr': 0.001, 'hidden_size': 32, 'epochs': 20000, 'n_layers': 2}
2.5640458164945854,{'lr': 0.001, 'hidden_size': 32, 'epochs': 20000, 'n_layers': 3}
5.635478180404783,{'lr': 1e-05, 'hidden_size': 32, 'epochs': 10000, 'n_layers': 2}
5.255632782216163,{'lr': 1e-05, 'hidden_size': 32, 'epochs': 10000, 'n_layers': 3}
4.528765030997309,{'lr': 1e-05, 'hidden_size': 32, 'epochs': 20000, 'n_layers': 2}
4.314504222888659,{'lr': 1e-05, 'hidden_size': 32, 'epochs': 20000, 'n_layers': 3}
