score,hypers
0.059231131618299564,{'max_depth': 6, 'min_child_weight': 9, 'gamma': 4.786523357173145, 'n_estimators': 241, 'eta': 0.9719790667283339, 'subsample': 0.2429450101974855, 'colsample_bytree': 0.8409802121713187, 'reg_alpha': 8.004434404219252, 'reg_lambda': 1.5225297310877486, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043982274776374064,{'max_depth': 18, 'min_child_weight': 6, 'gamma': 5.07341919074424, 'n_estimators': 114, 'eta': 0.36625611935867597, 'subsample': 0.4237830859733138, 'colsample_bytree': 0.2118037700170314, 'reg_alpha': 1.8666278339267142, 'reg_lambda': 0.2482179321109113, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043464281277503874,{'max_depth': 12, 'min_child_weight': 10, 'gamma': 3.9844125816183995, 'n_estimators': 86, 'eta': 0.6140969445397249, 'subsample': 0.7380019767118507, 'colsample_bytree': 0.48081471673044973, 'reg_alpha': 3.221050676475408, 'reg_lambda': 5.872911166182567, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043957485728282446,{'max_depth': 18, 'min_child_weight': 11, 'gamma': 4.866115274673425, 'n_estimators': 335, 'eta': 0.9191911784679794, 'subsample': 0.5073112135087423, 'colsample_bytree': 0.5889036537984891, 'reg_alpha': 0.7435698501517097, 'reg_lambda': 2.372796640576949, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.1126790858946946,{'max_depth': 15, 'min_child_weight': 20, 'gamma': 6.274015735223525, 'n_estimators': 390, 'eta': 0.5398723509368232, 'subsample': 0.13330911470596193, 'colsample_bytree': 0.6514167681978658, 'reg_alpha': 8.768527694281019, 'reg_lambda': 0.3928023217126975, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043554529749381676,{'max_depth': 9, 'min_child_weight': 16, 'gamma': 8.179049067537951, 'n_estimators': 320, 'eta': 0.32985363658343203, 'subsample': 0.8808440701662051, 'colsample_bytree': 0.7462185391152105, 'reg_alpha': 5.283832178301836, 'reg_lambda': 8.515448426964898, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.05460847133572102,{'max_depth': 6, 'min_child_weight': 9, 'gamma': 2.20792175944815, 'n_estimators': 236, 'eta': 0.5593743930699839, 'subsample': 0.3517896350090647, 'colsample_bytree': 0.6001537667812405, 'reg_alpha': 8.645685738012299, 'reg_lambda': 5.667517276629148, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04552131701071308,{'max_depth': 9, 'min_child_weight': 12, 'gamma': 6.149606016626671, 'n_estimators': 450, 'eta': 0.6428044639684285, 'subsample': 0.13299944661686666, 'colsample_bytree': 0.4056855665945168, 'reg_alpha': 3.237259508595935, 'reg_lambda': 0.39661207213193667, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04395366107052735,{'max_depth': 10, 'min_child_weight': 20, 'gamma': 3.356722070136437, 'n_estimators': 299, 'eta': 0.9975001759323364, 'subsample': 0.8945740509277529, 'colsample_bytree': 0.5207426245902326, 'reg_alpha': 0.8316214280467761, 'reg_lambda': 2.1476352095340263, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04459904892794898,{'max_depth': 2, 'min_child_weight': 10, 'gamma': 0.5317233473995843, 'n_estimators': 429, 'eta': 0.8831937220116017, 'subsample': 0.3713024574241308, 'colsample_bytree': 0.6871401318854478, 'reg_alpha': 5.499895565701777, 'reg_lambda': 1.8271672953666143, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04391840716198555,{'max_depth': 2, 'min_child_weight': 4, 'gamma': 4.971150170271137, 'n_estimators': 369, 'eta': 0.939669877024605, 'subsample': 0.1, 'colsample_bytree': 0.6781701497847769, 'reg_alpha': 0.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
