score,hypers
0.4982796662208644,{'max_depth': 12, 'min_child_weight': 17, 'gamma': 3.9831746968569046, 'learning_rate': 0.001434888157274509, 'n_estimators': 482, 'eta': 0.39115651186747613, 'max_delta_step': 9, 'subsample': 1.0, 'colsample_bytree': 0.4775795438766488, 'reg_alpha': 2.777584333114466, 'reg_lambda': 3.439250733361189, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04411562111440528,{'max_depth': 5, 'min_child_weight': 19, 'gamma': 0.0, 'learning_rate': 0.020871216145176456, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 10, 'subsample': 1.0, 'colsample_bytree': 0.31264751041682637, 'reg_alpha': 7.696228172292486, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.0500337017113421,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.0, 'learning_rate': 1.0, 'n_estimators': 50, 'eta': 1.0, 'max_delta_step': 10, 'subsample': 1.0, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04432459752227794,{'max_depth': 4, 'min_child_weight': 4, 'gamma': 1.9883997130582012, 'learning_rate': 0.2696922260192816, 'n_estimators': 319, 'eta': 0.9561971497582918, 'max_delta_step': 4, 'subsample': 0.8649862314695766, 'colsample_bytree': 0.8424123486271522, 'reg_alpha': 0.41288625240967836, 'reg_lambda': 2.108836279713426, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043960251181872086,{'max_depth': 17, 'min_child_weight': 17, 'gamma': 0.8182766723150328, 'learning_rate': 0.014222243715048117, 'n_estimators': 500, 'eta': 0.5632278498006057, 'max_delta_step': 8, 'subsample': 0.7862008776979821, 'colsample_bytree': 0.1, 'reg_alpha': 1.8333901700241209, 'reg_lambda': 9.924041653924036, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04088063593317254,{'max_depth': 2, 'min_child_weight': 9, 'gamma': 0.0, 'learning_rate': 0.187417464262635, 'n_estimators': 50, 'eta': 0.4342560684910223, 'max_delta_step': 10, 'subsample': 1.0, 'colsample_bytree': 0.4557318187826376, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.50717808458783,{'max_depth': 9, 'min_child_weight': 15, 'gamma': 1.4649721132300244, 'learning_rate': 0.0018331921279107, 'n_estimators': 404, 'eta': 0.8502544828463752, 'max_delta_step': 6, 'subsample': 0.4434717599498983, 'colsample_bytree': 0.25891773779762817, 'reg_alpha': 0.9778809361273989, 'reg_lambda': 6.247751674745182, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043138827159708626,{'max_depth': 5, 'min_child_weight': 17, 'gamma': 0.18792781813302184, 'learning_rate': 0.012324040465943464, 'n_estimators': 301, 'eta': 0.913810851360953, 'max_delta_step': 7, 'subsample': 1.0, 'colsample_bytree': 0.6223645047452859, 'reg_alpha': 2.5041371424082994, 'reg_lambda': 2.0296874308577992, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.060123874323549355,{'max_depth': 7, 'min_child_weight': 1, 'gamma': 5.691804627980401, 'learning_rate': 0.026110674420943766, 'n_estimators': 276, 'eta': 0.9079569310778625, 'max_delta_step': 9, 'subsample': 0.42786061380490836, 'colsample_bytree': 0.2951951678086233, 'reg_alpha': 8.462235788224637, 'reg_lambda': 9.493769683312395, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03965560620567553,{'max_depth': 20, 'min_child_weight': 20, 'gamma': 0.0, 'learning_rate': 0.0547112100926234, 'n_estimators': 500, 'eta': 0.23856287307676163, 'max_delta_step': 10, 'subsample': 0.5572447109107685, 'colsample_bytree': 0.5808415501298512, 'reg_alpha': 2.264474350425883, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.1745951715713692,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 10.0, 'learning_rate': 1.0, 'n_estimators': 500, 'eta': 0.1, 'max_delta_step': 0, 'subsample': 0.1, 'colsample_bytree': 1.0, 'reg_alpha': 10.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04386613470913498,{'max_depth': 19, 'min_child_weight': 20, 'gamma': 10.0, 'learning_rate': 0.019143497428049713, 'n_estimators': 500, 'eta': 0.11940883506046437, 'max_delta_step': 10, 'subsample': 1.0, 'colsample_bytree': 0.5490938633214455, 'reg_alpha': 3.8533560526769266, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04428562031716767,{'max_depth': 20, 'min_child_weight': 9, 'gamma': 4.635681296561659, 'learning_rate': 0.30957919991275323, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 7, 'subsample': 1.0, 'colsample_bytree': 0.40984742469731705, 'reg_alpha': 0.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.050243897248740066,{'max_depth': 5, 'min_child_weight': 13, 'gamma': 0.9231549638716781, 'learning_rate': 0.041138187495749066, 'n_estimators': 147, 'eta': 0.6404278641801471, 'max_delta_step': 8, 'subsample': 0.5638336874809572, 'colsample_bytree': 0.9645103006175639, 'reg_alpha': 7.574692759448514, 'reg_lambda': 2.475422613613696, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.8453855492517978,{'max_depth': 14, 'min_child_weight': 20, 'gamma': 0.9454846950517027, 'learning_rate': 0.18669330722209881, 'n_estimators': 500, 'eta': 0.1, 'max_delta_step': 0, 'subsample': 0.1, 'colsample_bytree': 0.83735910668983, 'reg_alpha': 4.514463614925447, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.046700441731027366,{'max_depth': 10, 'min_child_weight': 20, 'gamma': 3.6114254328329123, 'learning_rate': 0.6360775295561881, 'n_estimators': 500, 'eta': 0.75607604635343, 'max_delta_step': 0, 'subsample': 1.0, 'colsample_bytree': 0.9915065775437004, 'reg_alpha': 10.0, 'reg_lambda': 3.8222347965525465, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.7399932821443329,{'max_depth': 3, 'min_child_weight': 13, 'gamma': 10.0, 'learning_rate': 0.014703028468290495, 'n_estimators': 271, 'eta': 0.32961147209082203, 'max_delta_step': 2, 'subsample': 0.1, 'colsample_bytree': 1.0, 'reg_alpha': 6.928185405118433, 'reg_lambda': 9.902296607842768, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.048475364984188585,{'max_depth': 3, 'min_child_weight': 20, 'gamma': 0.0, 'learning_rate': 1.0, 'n_estimators': 487, 'eta': 0.1, 'max_delta_step': 10, 'subsample': 0.59377037270883, 'colsample_bytree': 0.8496267324956284, 'reg_alpha': 9.908758292169368, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.054169049169554784,{'max_depth': 20, 'min_child_weight': 20, 'gamma': 0.0, 'learning_rate': 1.0, 'n_estimators': 50, 'eta': 1.0, 'max_delta_step': 10, 'subsample': 0.4863064503789922, 'colsample_bytree': 0.1, 'reg_alpha': 10.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
